param,value,mae,n
lambda_team,0.125,14.151537190476187,42
lambda_team,0.25,14.075055404761905,42
lambda_team,0.5,14.18398069047619,42
lambda_team,1.0,14.247597238095238,42
lambda_team,2.0,14.223735238095239,42
lambda_team,4.0,14.214331999999999,42
lambda_team,8.0,14.273173214285716,42
lambda_team,16.0,14.49836138095238,42
lambda_team,32.0,14.659784333333334,42
lambda_conf,0.25,14.08442280952381,42
lambda_conf,0.5,14.07963966666667,42
lambda_conf,1.0,14.075055404761905,42
lambda_conf,2.0,14.067605666666665,42
lambda_conf,4.0,14.055511023809524,42
fcs_weight,0.0,14.34665819047619,42
fcs_weight,0.1,14.140016404761903,42
fcs_weight,0.25,14.055511023809524,42
fcs_weight,0.5,13.987450666666668,42
prior_strength,0.0,14.567337785714285,42
prior_strength,3.0,14.277394261904764,42
prior_strength,6.0,13.987450666666668,42
prior_strength,9.0,13.789833142857143,42
prior_strength,12.0,13.732784190476192,42
prior_strength,16.0,13.761057976190475,42
prior_strength,20.0,13.792834476190475,42
decay,0.0,13.732784190476192,42
decay,0.02,13.676018666666668,42
decay,0.05,13.60102888095238,42
decay,0.1,13.544651785714288,42
decay,0.2,13.46887685714286,42
lambda_hfa,10.0,13.49091519047619,42
lambda_hfa,40.0,13.46887685714286,42
lambda_hfa,100.0,13.464570857142855,42
lambda_hfa,400.0,13.462783261904763,42
